Document Number,Document Title,FSC,Preparing Activity,Date,Notice Date,Amendment Date,Interim Amendment Date
FED-STD-191/2011,"Dihydroxydichlorodiphenyl Methane Content, Colorimetric Meth",8300,GL,20-Jul-1978,,,
FED-STD-191/2012,"Dihydroxydichlorodiphenyl Methane Content, Parr Chloride Met",8300,GL,20-Jul-1978,,,
FED-STD-191/2013,Fluorine Content of Textile Materials,8300,GL,20-Jul-1978,,,
FED-STD-191/2015.3,"Sodium 5-Chloro-2- 4 Chloro-2 3-(3,4 Dichlorophenyl)- Ureido",8300,GL,28-Dec-1989,,,
FED-STD-791/3432.1,Compatibility of Elastomers With Aircraft Turbine Lubricants,9100,MR,30-Sep-1986,,,
FED-STD-791/3433,Turbine Lubricants With Silicone Rubber,9100,CR,30-Sep-1986,,,
FED-STD-791/3440.1,Storage Solubility Characteristics of Universal Gear Lubrica,9100,MR,30-Sep-1986,,,
FED-STD-791/3450,Turbine Engine Lubricants,9100,MR,30-Sep-1986,,,
FED-STD-791/3451.4,Stability of Lubricating Oils (Work Factor),9100,MR,30-Sep-1986,,,
FED-STD-791/3452.2,Bearing Compatibility of Turbine Oils,9100,MR,30-Sep-1986,,,
FED-STD-791/3455.1,Separation Characteristics of Universal Gear Lubricants,9100,MR,15-Jan-1969,,,
FED-STD-791/3456.2,Channeling Characteristics,9100,MR,30-Sep-1986,,,
FED-STD-791/3457.2,Hydrolytic Stability,9100,MR,30-Sep-1986,,,
FED-STD-791/3458.1,Low Temperature Stability Test for Oil,9100,MR,30-Sep-1986,,,
FED-STD-791/3459.1,Low Temperature Stability,9100,MR,30-Sep-1986,,,
FED-STD-791/3460,High and Low Temperature Stability,9100,MR,15-Jan-1969,,,
FED-STD-791/3462,Cooking Tendency of Oil,9100,MR,15-Jan-1969,,,
FED-STD-791/3463.2,Stability in Hot Water (Water Immersion),9100,MR,30-Sep-1986,,,
FED-STD-791/3465.1,Storage Stability Test,9100,MR,30-Sep-1986,,,
FED-STD-791/3466,Thermal Stability of Low Volatility Gas Turbine Aviation Fue,9100,MR,15-Jan-1969,,,
FED-STD-791/3467.1,Storage Stability of Lubricating Grease,9100,MR,30-Sep-1986,,,
FED-STD-791/3470.1,Homogeneity and Miscibility of Oils,9100,MR,30-Sep-1986,,,
FED-STD-791/3471.2,Shear Stability of Hydraulic Fluids,9100,MR,15-Jan-1969,,,
FED-STD-791/3472,Sonic Shear Stability of Polymer-Containing Oils,9100,MR,30-Sep-1986,,,
FED-STD-791/3480.1,Volatility of Blended Oils,9100,MR,30-Sep-1986,,,
FED-STD-791/3500.1,Monobasic Acid Components of Synthetic Ester Lubricants by G,9100,MR,30-Sep-1986,,,
FED-STD-791/3603.5,Swelling of Synthetic Rubbers,9100,MR,30-Sep-1986,,,
FED-STD-791/3604.2,Swelling of Synthetic Rubber by Aircraft Turbine Lubricants,9100,MR,30-Sep-1986,,,
FED-STD-791/3710.1,Molybdenum Disulfide Purity,9100,MR,30-Sep-1986,,,
FED-STD-791/3720.2,Molybdenum Disulfide Content of Lubricating Grease,9100,MR,30-Sep-1986,,,
FED-STD-191/2016,"Sodium Salt of (4,5-Dichloro, 2-Chloromethane Sulfonamide)",8300,GL,20-Jul-1978,,,
FED-STD-191/2017,"Sodium Salt Content of (4,5-Dichloro, 2-Chloromethane Sulfon",83GP,GL,31-Mar-1987,,,
FED-STD-191/2020,Presence of Labile Sulfur in Textile Materials,8300,GL,20-Jul-1978,,,
FED-STD-191/2050.1,"Copper Content of Textiles, Atomic Absorption Method",8300,GL,31-Mar-1987,,,
FED-STD-191/2051,"Copper Content of Textiles, Polarographic Method",8300,GL,20-Jul-1978,,,
