Document Number,Document Title,FSC,Preparing Activity,Date,Notice Date,Amendment Date,Interim Amendment Date
FED-STD-191/5040,"Weight of Cloth; Cut, Roll, or Bolt Method; Determination of",8300,GL,20-Jul-1978,,,
FED-STD-191/5041,"Weight of Textile Materials, Small Specimen Method; Determin",8300,GL,20-Jul-1978,,,
FED-STD-191/5050,Yarns Per Unit Length (Inch or Centimeter) in Woven Cloth,8300,GL,20-Jul-1978,,,
FED-STD-191/5052,Stitches Per Unit Length in Seams and Stitchings; Determinat,8300,GL,20-Jul-1978,,,
FED-STD-191/5060,Bow of Yarns in Woven Cloth,8300,GL,20-Jul-1978,,,
FED-STD-191/5070,Wales and Courses in Knit Cloth,8300,GL,20-Jul-1978,,,
FED-STD-191/5100.1,"Strength and Elongation, Breaking of Woven Cloth; Grab Metho",8300,GL,28-Dec-1989,,,
FED-STD-191/5102,"Strength and Elongation, Breaking of Woven Cloth; Cut Strip",8300,GL,20-Jul-1978,,,
FED-STD-191/5104,"Strength and Elongation, Breaking of Woven Cloth; Ravel Stri",8300,GL,20-Jul-1978,,,
FED-STD-191/5106,Tension of Elastic Textile Materials,8300,GL,20-Jul-1978,,,
FED-STD-191/5110,Sewability of Woven Cloth; Seam Efficiency Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5120,Strength of Cloth; Ball Bursting Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5122,Strength of Cloth; Diaphragm Bursting Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5200,"Stiffness of Cloth, Directional; Hanging Heart Loop Method",8300,GL,20-Jul-1978,,,
FED-STD-191/5202,"Stiffness of Cloth, Directional; Cantilever Bending Method",8300,GL,20-Jul-1978,,,
FED-STD-191/5204,"Stiffness of Cloth, Directional; Self-Weighted Cantilever Me",8300,GL,20-Jul-1978,,,
FED-STD-191/5206,"Stiffness of Cloth, Drape and Flex; Cantilever Bending Metho",8300,GL,20-Jul-1978,,,
FED-STD-191/5210,Crease Resistance of Cloth; Cold Press Recovery Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5212,"Crease Resistance of Cloth, Angle of Recovery Method",8300,GL,20-Jul-1978,,,
FED-STD-191/5214,Wrinkle Recovery of Fabrics; Appearance Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5216,"Durable Press On Fabrics, Shirts, and Trousers; Evaluation",8300,GL,20-Jul-1978,,,
FED-STD-191/5220,Flexibility of Cloth After Leaching,8300,GL,20-Jul-1978,,,
FED-STD-191/5230,Flexing Resistance of Coated Cloth,8300,GL,20-Jul-1978,,,
FED-STD-191/5300,"Abrasion Resistance of Cloth; Flexing, Folding Bar (Stoll)",8300,GL,20-Jul-1978,,,
FED-STD-791/6052.1,High Temperature-High Pressure Spray Ignition,9100,MR,30-Sep-1986,,,
FED-STD-791/6053.1,Manifold Ignition Test,9100,MR,30-Sep-1986,,,
FED-STD-791/6503.2,Load-Carrying Capacity (Mean Hertz Load),9100,MR,15-Jan-1969,,,
FED-STD-791/6505.2,Load-Carrying Capacity of Universal Gear Lubricants by the,9100,MR,30-Sep-1986,,,
FED-STD-791/6506.1,"Performance of Gear Lubricants in Axles At High Speed, Low",9100,MR,15-Jan-1969,,,
FED-STD-791/6507.1,Performance of Gear Lubricants in Axles Under High Speed and,9100,MR,15-Jan-1969,,,
FED-STD-791/6508.2,Load Carrying Capacity of Lubricating Oils (Ryder Gear Machi,9100,MR,30-Sep-1986,,,
FED-STD-791/6509.2,Gear Fatigue Characteristics of Aircraft Gasturbine Lubrican,9100,MR,30-Sep-1986,,,
FED-STD-191/5302,Abrasion Resistance of Cloth; Inflated Diaphragm (Stoll) Met,8300,GL,20-Jul-1978,,,
FED-STD-191/5303,Color Change of Cloth Due to Flat Abrasion (Frosting); Wire,8300,GL,20-Jul-1978,,,
FED-STD-191/5304,Abrasion Resistance of Cloth; Oscillatory Method (Wyzenbeek),8300,GL,20-Jul-1978,,,
FED-STD-191/5306,"Abrasion Resistance of Cloth; Rotary Platform, Double Head (",8300,GL,20-Jul-1978,,,
FED-STD-191/5308,Abrasion Resistance of Cloth; Uniform Abrasion (Schiefer) Me,8300,GL,20-Jul-1978,,,
FED-STD-191/5309.1,Abrasion Resistance of Textile Webbing,8300,GL,28-Dec-1989,,,
FED-STD-191/5310,Appearance-Retention of Cloth; Pilling and Surface Wear,8300,GL,20-Jul-1978,,,
FED-STD-191/5320,Pilling Resistance of Textile Fabrics; Brush and Sponge Meth,8300,GL,20-Jul-1978,,,
FED-STD-191/5400,Sewability of Woven Cloth; Yarn Severance Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5404,Sewability of Cloths Containing Thermoplastic Synthetic Fibe,8300,GL,20-Jul-1978,,,
FED-STD-191/5410,Slippage Resistance of Yarns in Cloth; Yarn Distortion Metho,8300,GL,20-Jul-1978,,,
FED-STD-191/5450,Permeability to Air; Cloth; Calibrated Orifice Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5452,Permeability to Air; Cloth; Falling Cylinder Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5500.1,Water Resistance of Cloth; Dynamic Absorption Method,8300,GL,28-Dec-1989,,,
FED-STD-191/5502.1,Water Resistance of Cloth; Immersion Absorption Method,8300,GL,28-Dec-1989,,,
FED-STD-191/5504,Water Resistance of Coated Cloth; Spray Absorption Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5506,"Dry Cleaning Test, Accelerated; for Labels",8300,GL,20-Jul-1978,,,
FED-STD-191/5508,Dry Cleaning Solvent Resistance of Cloth With Water Resistan,8300,GL,20-Jul-1978,,,
FED-STD-191/5509,Dry Cleaning Solvent Resistance of Cloth With Water-Resistan,8300,GL,20-Jul-1978,,,
FED-STD-191/5510,Dry Cleaning Resistance of Cloth With Water-Resistant Finish,8300,GL,20-Jul-1978,,,
FED-STD-191/5851,Accelerated Aging of Cloth; Closed Container Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5852,Accelerated Aging of Cloth; Oxygen Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5870,"Temperature, High; Effect On Cloth Flexibility",8300,GL,20-Jul-1978,,,
FED-STD-191/5872,"Temperature, High; Effect On Cloth Blocking",8300,GL,20-Jul-1978,,,
FED-STD-191/5874,"Temperature, Low; Effect On Coated Cloth",8300,GL,20-Jul-1978,,,
FED-STD-191/5900,Flame Resistance of Cloth; Horizontal,8300,GL,20-Jul-1978,,,
FED-STD-191/5903.1,Flame Resistance of Cloth; Vertical,8300,GL,28-Dec-1989,,,
FED-STD-191/5904,"Flame Resistance of Cloth; Vertical, Field",8300,GL,20-Jul-1978,,,
FED-STD-191/5905.1,Flame Resistance of Material; High Heat Flux Flame Contact,8300,GL,31-Mar-1987,,,
FED-STD-191/5906,"Flammability, Burning Rate of Cloth; Horizontal",8300,GL,20-Jul-1978,,,
FED-STD-191/5907,Flammability Test for Sleeping Bag Cloths; Tablet Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5908,"Flammability, Burning Rate of Cloth; 45 Degree Angle",8300,GL,20-Jul-1978,,,
FED-STD-191/5920,Heating (Spontaneous) of Cloth,8300,GL,20-Jul-1978,,,
FED-STD-191/5930,Electrical Resistivity of Fabrics; Determination of,8300,GL,20-Jul-1978,,,
FED-STD-191/5931,Electrostatic Decay of Fabrics; Determination of,8300,GL,21-Jun-1990,,,
FED-STD-191/5950,Adhesion of Plied (Double Texture) Fabric,8300,GL,20-Jul-1978,,,
FED-STD-191/5951,Bond Strength of Bonded and Laminated Apparel Cloths,8300,GL,20-Jul-1978,,,
FED-STD-191/5960,Adhesion of Cemented Seams,8300,GL,20-Jul-1978,,,
FED-STD-191/5962,Adhesion of Strapped Seams,8300,GL,20-Jul-1978,,,
FED-STD-191/5964,Adhesion of Wet Seams,8300,GL,20-Jul-1978,,,
FED-STD-191/5970,Adhesion of Coating; Adhesive Method,8300,GL,20-Jul-1978,,,
FED-STD-191/5972,Strength of Coating; Water Resistance Method,8300,GL,20-Jul-1978,,,
FED-STD-191/6000,Length of Ten Turns; Cordage,8300,GL,20-Jul-1978,,,
FED-STD-191/6001,Picks Per Inch (Picks/Cm); Braided Cordage,8300,GL,20-Jul-1978,,,
FED-STD-191/6002,Diameter of Cordage,8300,GL,20-Jul-1978,,,
FED-STD-191/6003,Circumference of Cordage,8300,GL,20-Jul-1978,,,
FED-STD-191/6004,Length Per Unit Weight; Cordage,8300,GL,20-Jul-1978,,,
FED-STD-191/6010,"Shrinkage of Cordage, Boiling Water Method; Determination of",8300,GL,20-Jul-1978,,,
FED-STD-191/6011,Water Absorption; Cordage,8300,GL,20-Jul-1978,,,
FED-STD-191/6015.1,"Strength and Elongation, Breaking of Cordage; Spliced Specim",8300,GL,28-Dec-1989,,,
FED-STD-191/6016,"Strength and Elongation, Breaking of Cordage; Non-Spliced Sp",8300,GL,20-Jul-1978,,,
FED-STD-191/6020,Hardness; Cordage,8300,GL,20-Jul-1978,,,
FED-STD-191/7102,Gripping Strength of Shoe Lace Tips,8300,GL,20-Jul-1978,,,
FED-STD-191/7308,"Abrasion Resistance; Socks, Hosiery, and Knitted Cloth; Unif",8300,GL,20-Jul-1978,,,
FED-STD-191/7540,Stretched Width of Knit Items,8300,GL,20-Jul-1978,,,
FED-STD-191/7550,Shrinkage in Laundering of Cotton and Linen Garments and Rea,8300,GL,20-Jul-1978,,,
FED-STD-191/7552,Shrinkage in Laundering of Garments and Ready-Made Articles,8300,GL,20-Jul-1978,,,
FED-STD-191/7554,Shrinkage in Laundering of Wool Garments and Ready-Made Arti,8300,GL,20-Jul-1978,,,
FED-STD-191/7556,Shrinkage in Laundering of Garments and Ready-Made Articles;,8300,GL,20-Jul-1978,,,
FED-STD-191/7558,Shrinkage Relaxation; Wool Garments and Ready-Made Articles,8300,GL,20-Jul-1978,,,
FED-STD-191/7560.1,Shrinkage in Laundering of Shrink-Resistant Wool Socks,8300,GL,28-Dec-1989,,,
FED-STD-191/7561,Shrinkage in Laundering of Shrink-Resistant Treated Wool Soc,8300,GL,20-Jul-1978,,,
FED-STD-191/7580,Shrinkage in Dry Cleaning; Garments and Ready-Made Articles,8300,GL,20-Jul-1978,,,
FED-STD-191/7590,Shrinkage in Sponging; Garments and Ready-Made Articles,8300,GL,20-Jul-1978,,,
FED-STD-191/9010.1,Shade Matching of Textile Materials; Visual Method,8300,GL,21-Jun-1990,,,
FED-STD-4B(2),Glossary of Fabric Imperfections,8305,GL,29-Jul-1964,"Notice: 1 1-Oct-1987","Amendment: 2 12-Sep-1975","Int Amendment: 0 --"
FED-STD-228/3001,"Tension Tests, Insulation and Sheath; General",6145,EL,14-Apr-1967,,,
FED-STD-228/3011,"Buffing, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/3016,"Calibration, Tension Testing Machine",6145,EL,14-Apr-1967,,,
FED-STD-228/3021,"Tensile Strength, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/3031,"Elongation, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/3041,"Tensile Stress, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/3111,"Tearing Strength, Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/3161,"Tension Set, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/3171,"Tensile Strength, Varnished Cloth Insulation",6145,EL,14-Apr-1967,,,
FED-STD-228/3211,"Tensile Strength and Elongation, Soft or Annealed Conductors",6145,EL,14-Apr-1967,,,
FED-STD-228/3212,"Tensile Strength and Elongation, Medium Hard-Drawn or Hard-D",6145,EL,14-Apr-1967,,,
FED-STD-228/4001,"Resistance to Heat, Oxygen, Air, Light, and Ozone; General",6145,EL,14-Apr-1967,,,
FED-STD-228/4011,"Oxygen Pressure Test, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/4021,"Air Pressure Test, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/4031,"Air Oven Test, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/4041,"Test Tube Heat-Aging, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/4111,"Resistance to Ozone, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/4131,"Resistance to Light, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/4211,"Resistance to Petrolatum, Varnished Cloth",6145,EL,14-Apr-1967,,,
FED-STD-228/4221,"Resistance to Oil, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/4223,"Resistance of Oil, Insulation and Sheath (Recovery Method",6145,EL,14-Apr-1967,,,
FED-STD-228/5011,"Heat Shock, Insulation",6145,EL,14-Apr-1967,,,
FED-STD-228/5021,"Heat Distortion, Insulation",6145,EL,14-Apr-1967,,,
FED-STD-228/5111,"Melt, Fibrous Covering",6145,EL,14-Apr-1967,,,
FED-STD-228/5131,"Drip, Fibrous Covering",6145,EL,14-Apr-1967,,,
FED-STD-228/5141,"Drip, Cable",6145,EL,14-Apr-1967,,,
FED-STD-228/5211,"Flammability, Horizontal",6145,EL,14-Apr-1967,,,
FED-STD-228/5221,"Flammability, Vertical",6145,EL,14-Apr-1967,,,
FED-STD-228/5231,"Flammability, Spark Method",6145,EL,14-Apr-1967,,,
FED-STD-228/6011,"Resistance, Electrical, Steel Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/6021,"Resistance, Electrical, Conductor",6145,EL,14-Apr-1967,,,
FED-STD-228/6031,"Resistance, Electrical, Insulation",6145,EL,14-Apr-1967,,,
FED-STD-228/6041,"Surface Resistance, Finished Wire and Cable",6145,EL,14-Apr-1967,,,
FED-STD-228/6111,"Voltage With Stand, Insulated Wire Cable",6145,EL,14-Apr-1967,,,
FED-STD-228/6121,"Voltage With Stand, Insulation, Flexing",6145,EL,14-Apr-1967,,,
FED-STD-228/6131,"Voltage With Stand, Insulation, Flexing, Low Temperature",6145,EL,14-Apr-1967,,,
FED-STD-228/6211,"Insulation Defects, Spark Test",6145,EL,14-Apr-1967,,,
FED-STD-228/6221,"Dielectric Strength, Cloth and Tape",6145,EL,14-Apr-1967,,,
FED-STD-228/6271,Capacitance Change With Time in Water,6145,EL,14-Apr-1967,,,
FED-STD-228/7001,Chemical Tests; General,6145,EL,14-Apr-1967,,,
FED-STD-228/7011,Resistance to Acid and Alkali,6145,EL,14-Apr-1967,,,
FED-STD-228/7111,"Zinc Coating, Steel Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/7121,"Conductor Coating, Sodium Polysulfide",6145,EL,14-Apr-1967,,,
FED-STD-228/7123,"Conductor Coating, Ammonium Persulfate",6145,EL,14-Apr-1967,,,
FED-STD-228/7211,"Mineral Content, Coverings",6145,EL,14-Apr-1967,,,
FED-STD-228/7231,"Lead Sheath, Composition",6145,EL,14-Apr-1967,,,
FED-STD-228/7251,"Identification, Synthetic Elastomers, Insulation and Sheath",6145,EL,14-Apr-1967,,,
FED-STD-228/8011,"Picks Per Inch, Braid",6145,EL,14-Apr-1967,,,
FED-STD-228/8021,"Carriers, Ends Per Carrier, and Ply of Yarns; Braid",6145,EL,14-Apr-1967,,,
FED-STD-228/8031,"Yarns Per Inch, Fibrous Covering",6145,EL,14-Apr-1967,,,
FED-STD-228/8033,"Yarns Per Inch, Varnished Cloth",6145,EL,14-Apr-1967,,,
FED-STD-228/8041,"Yarn Size, Wrap and Serving",6145,EL,14-Apr-1967,,,
FED-STD-228/8111,Direction of Lay,6145,EL,14-Apr-1967,,,
FED-STD-228/8121,"Coverage, Braid, Metal Armor",6145,EL,14-Apr-1967,,,
FED-STD-228/8131,"Coverage, Wrap or Serving",6145,EL,14-Apr-1967,,,
FED-STD-228/8211,"Moisture Absorption, Insulation",6145,EL,14-Apr-1967,,,
FED-STD-228/8221,"Moisture Absorption, Fibrous Covering",6145,EL,14-Apr-1967,,,
FED-STD-228/8231,Insulation Shrinkage (Molten Solder Method),6145,EL,14-Apr-1967,,,
FED-STD-228/8311,"Weight, Wire or Cable, Conductor and Covering Material",6145,EL,14-Apr-1967,,,
FED-STD-228/8321,Specific Gravity; Pycnometer,6145,EL,14-Apr-1967,,,
FED-STD-228/8322,Specific Gravity; Hydrostatic,6145,EL,14-Apr-1967,"Notice: 2 4-Jan-1993",,
FED-STD-236A,Cleaning and Renovating of Cotton Felted Mattresses,7210,GL,13-Mar-1969,,,
FED-STD-245E,Tolerances for Aluminum Alloy and Magnesium Alloy Wrought Pr,MISC,AS,26-Oct-1985,,,
FED-STD-265,Carpets and Rugs,7220,FSS,28-Jun-1968,,,
FED-STD-536A/GEN,Soap and Soap Products (Including Synthetic Detergents); Sam,7930,FSS,9-May-1975,"Notice: 1 30-May-2007",,
FED-STD-297E,Rustproofing of Commercial (Nontactical) Vehicles,23GP,AT,1-Aug-1990,,,
FED-STD-311/4021,"Cracking, Hand",8300,GL,15-Jan-1969,,,
FED-STD-311/4111,Piping,8300,GL,15-Jan-1969,,,
FED-STD-311/4211.2,Stiffness,8300,GL,24-Jan-1975,,,
FED-STD-311/4212,Torsion Wire Stiffness Measurement,8300,GL,13-Jul-1972,,,
FED-STD-311/4411,Compressibility,8300,GL,15-Jan-1969,,,
FED-STD-311/5021,"Mildew Resistance; Direct Inoculation, Pure Culture, Non-Ste",8300,GL,15-Jan-1969,,,
FED-STD-311/5041,"Mildew Resistance, Tropical Chamber Method",8300,GL,15-Jan-1969,,,
FED-STD-311/6001,"Chemical Tests, General",8300,GL,15-Jan-1969,,,
FED-STD-311/6002.1,Preparation of Composite Sample,8300,GL,27-Aug-1971,,,
FED-STD-311/6111,"Aldehyde, Qualitative",8300,GL,15-Jan-1969,,,
FED-STD-311/6211,"Moisture Content, Dry Air Method",8300,GL,15-Jan-1969,,,
FED-STD-311/6221,"Moisture Content, Oven Method",8300,GL,15-Jan-1969,,,
FED-STD-311/6311,Chloroform Extraction,8300,GL,15-Jan-1969,,,
FED-STD-311/6341,"Chloroform-Soluble and Water-Soluble Materials, and Insolubl",8300,GL,15-Jan-1969,,,
FED-STD-311/6351,"Chlorides, Soluble",8300,GL,15-Jan-1969,,,
FED-STD-311/6361,"Sulfates, Soluble",8300,GL,15-Jan-1969,,,
FED-STD-311/6371,Acetone Insoluble Material,8300,GL,15-Jan-1969,,,
FED-STD-311/6421,"Ash, Total",8300,GL,15-Jan-1969,,,
FED-STD-311/6431,Alkali Solubility of Leather Cellulose Mixtures,8300,GL,15-Jan-1969,,,
FED-STD-311/6441,"Nitrogen, Collagenous and Hide Substance",8300,GL,15-Jan-1969,,,
FED-STD-311/6452,"Nitrogen, Water Extractable",8300,GL,15-Jan-1969,,,
FED-STD-311/6511,"Chromic Oxide, Fusion Method",8300,GL,15-Jan-1969,,,
FED-STD-311/6515,"Chromic Oxide, Perchloric Acid Method",8300,GL,15-Jan-1969,,,
